timestamp,git_commit,data_source,symbol,interval,lookback_weeks,model,commission,horizon_bars,threshold,train_size,test_size,step_size,purge_size,embargo_size,calibrate,calibrator_method,calibrator_val_frac,rows_backtest,oos_auc,oos_auc_inverted,oos_logloss,buy_hold_return_pct,return_over_bh,score_ret_dd,regime_tag,return_pct,max_drawdown_pct,sharpe,profit_factor,trades,exposure_pct,commissions_paid,equity_final
2026-03-17T16:08:20.324657,a9a753f64d6ab7b643a739b983688fb0f2959fce,hyperliquid,ETH,1h,28,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,672,0.5330953060154043,0.4669046939845957,0.7041744074373765,-34.365553838919865,0.5895192389198698,-0.862569190846568,bear,-33.776034599999996,-39.157478563372436,-129.75071888056146,0.0,1,99.70238095238095,162.2346,66223.9654
2026-03-17T16:09:42.291056,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,38304,0.49349895435043367,0.5065010456495663,0.7240426435139093,-49.847704491333,-47.847898508666994,-0.9934139990802957,bear,-97.69560299999999,-98.34329201163537,-2.1285420767416805,0.6607755186443762,727,79.3468045112782,35978.302999999934,2304.3970000000136
2026-03-17T16:13:56.856502,a9a753f64d6ab7b643a739b983688fb0f2959fce,hyperliquid,ETH,1h,28,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,672,0.5330953060154043,0.4669046939845957,0.7041744074373765,-34.365553838919865,0.5895192389198698,-0.862569190846568,bear,-33.776034599999996,-39.157478563372436,-129.75071888056146,0.0,1,99.70238095238095,162.2346,66223.9654
2026-03-17T16:15:20.938946,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,38304,0.49349895435043367,0.5065010456495663,0.7240426435139093,-49.847704491333,-47.847898508666994,-0.9934139990802957,bear,-97.69560299999999,-98.34329201163537,-2.1285420767416805,0.6607755186443762,727,79.3468045112782,35978.302999999934,2304.3970000000136
2026-03-17T16:16:07.427734,a9a753f64d6ab7b643a739b983688fb0f2959fce,hyperliquid,ETH,1h,28,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,672,0.5330953060154043,0.4669046939845957,0.7041744074373765,-34.365553838919865,0.5895192389198698,-0.862569190846568,bear,-33.776034599999996,-39.157478563372436,-129.75071888056146,0.0,1,99.70238095238095,162.2346,66223.9654
2026-03-17T16:17:29.241067,a9a753f64d6ab7b643a739b983688fb0f2959fce,hyperliquid,ETH,1h,28,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,672,0.5330953060154043,0.4669046939845957,0.7041744074373765,-34.365553838919865,0.5895192389198698,-0.862569190846568,bear,-33.776034599999996,-39.157478563372436,-129.75071888056146,0.0,1,99.70238095238095,162.2346,66223.9654
2026-03-17T16:18:37.825970,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,38304,0.49349895435043367,0.5065010456495663,0.7240426435139093,-49.847704491333,-47.847898508666994,-0.9934139990802957,bear,-97.69560299999999,-98.34329201163537,-2.1285420767416805,0.6607755186443762,727,79.3468045112782,35978.302999999934,2304.3970000000136
2026-03-18T04:42:14.837941,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,12,0.001,3360,672,672,12,0,True,sigmoid,0.15,38304,0.5178041404104909,0.48219585958950906,0.7061535081343864,-50.283243362898645,-46.15183798710132,-0.9913078284415777,bear,-96.43508134999996,-97.28066154950507,-1.7532804543622367,0.7342124226969898,886,75.82758980785297,29051.011350000026,3564.918650000037
2026-03-18T04:44:22.137065,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,12,0.002,3360,672,672,12,0,True,sigmoid,0.15,38304,0.5181747405285739,0.481825259471426,0.7008608147269628,-50.283243362898645,-46.11142827710131,-0.9906810336137902,bear,-96.39467163999996,-97.30142030515415,-1.7568968625014532,0.7217803900518375,663,82.0906432748538,24627.71164,3605.3283600000436
2026-03-18T04:46:00.021382,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,12,0.003,3360,672,672,12,0,True,sigmoid,0.15,38304,0.5210466265660155,0.4789533734339844,0.6938806819263034,-50.283243362898645,-40.63510635710138,-0.9722194844114931,bear,-90.91834972000002,-93.51628019987174,-1.1232784299463885,0.7585148832378802,563,87.82633667502088,23918.509720000016,9081.65027999998
2026-03-18T04:47:33.442582,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,24,0.001,3360,672,672,24,0,True,sigmoid,0.15,38304,0.49653040316619024,0.5034695968338098,0.7231309352472931,-50.283243362898645,-47.582830787101344,-0.9915876756250321,bear,-97.86607414999999,-98.69633977480771,-2.237213158119973,0.650273378930307,725,73.34743107769424,35050.44415000001,2133.925850000015
2026-03-18T04:48:57.799191,a9a753f64d6ab7b643a739b983688fb0f2959fce,binance_futures,ETH,1h,250,lightgbm,0.001,24,0.002,3360,672,672,24,0,True,sigmoid,0.15,38304,0.4970045162875203,0.5029954837124797,0.7209765806804528,-50.283243362898645,-46.11733647710142,-0.9879066371634754,bear,-96.40057984000006,-97.58065814477166,-1.7733299999273064,0.7069621972613578,695,79.22149122807018,35959.479840000015,3599.4201599999305
