run_id,timestamp,git_commit,data_source,symbol,interval,market_regime,n,pos_rate,auc,auc_inverted,auc_gap,logloss
20260320_064154,2026-03-20T06:41:55.281982,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21048,0.30986316989737744,0.547768273306885,0.45223172669311507,0.09553654661376998,0.6466124355474315
20260320_064154,2026-03-20T06:41:55.281982,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.4166666666666667,0.2642857142857143,0.7357142857142857,-0.47142857142857136,0.6965488929361981
20260320_065413,2026-03-20T06:54:13.866788,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.3755733944954128,0.48576126287160293,0.5142387371283971,-0.028477474256794144,0.7156986293203266
20260320_065413,2026-03-20T06:54:13.866788,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8512,0.33482142857142855,0.5171795348491327,0.4828204651508673,0.03435906969826541,0.6665448404472016
20260320_065413,2026-03-20T06:54:13.866788,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21048,0.30986316989737744,0.547768273306885,0.45223172669311507,0.09553654661376998,0.6466124355474315
20260320_065413,2026-03-20T06:54:13.866788,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.4166666666666667,0.2642857142857143,0.7357142857142857,-0.47142857142857136,0.6965488929361981
20260320_071343,2026-03-20T07:13:44.444320,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.3755733944954128,0.48576126287160293,0.5142387371283971,-0.028477474256794144,0.7156986293203266
20260320_071343,2026-03-20T07:13:44.444320,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8512,0.33482142857142855,0.5171795348491327,0.4828204651508673,0.03435906969826541,0.6665448404472016
20260320_071343,2026-03-20T07:13:44.444320,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21048,0.30986316989737744,0.547768273306885,0.45223172669311507,0.09553654661376998,0.6466124355474315
20260320_071343,2026-03-20T07:13:44.444320,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.4166666666666667,0.2642857142857143,0.7357142857142857,-0.47142857142857136,0.6965488929361981
20260320_100719,2026-03-20T10:07:19.991417,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.3755733944954128,0.48639925977330556,0.5136007402266944,-0.027201480453388882,0.7144081330897196
20260320_100719,2026-03-20T10:07:19.991417,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8515,0.3347034644744568,0.5177676406373392,0.48223235936266085,0.03553528127467831,0.6650362022134972
20260320_100719,2026-03-20T10:07:19.991417,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21045,0.3099073414112616,0.5474074337308819,0.45259256626911815,0.09481486746176371,0.6457002715645921
20260320_100719,2026-03-20T10:07:19.991417,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.375,0.4,0.6,-0.19999999999999996,0.6703960100501094
20260320_100920,2026-03-20T10:09:21.131414,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.4387614678899083,0.5007279254860652,0.4992720745139348,0.001455850972130357,0.7506619221024525
20260320_100920,2026-03-20T10:09:21.131414,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8515,0.37475044039929534,0.5016688559413319,0.498331144058668,0.0033377118826639074,0.7105218179492805
20260320_100920,2026-03-20T10:09:21.131414,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21045,0.3722974578284628,0.5359768928317633,0.46402310716823664,0.07195378566352667,0.7051191815236295
20260320_100920,2026-03-20T10:09:21.131414,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,unknown,24,0.5833333333333334,0.39285714285714285,0.6071428571428572,-0.21428571428571436,0.727198426446007
20260320_111642,2026-03-20T11:16:45.245272,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bull,8720,0.3755733944954128,0.4864013346511611,0.5135986653488388,-0.027197330697677713,0.7144094719637569
20260320_111642,2026-03-20T11:16:45.245272,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,bear,8515,0.3347034644744568,0.5177685077654418,0.4822314922345582,0.03553701553088362,0.6650364590747811
20260320_111642,2026-03-20T11:16:45.245272,673ff9bf1b4d3bf6bcaebed0fa7cc0b4519bca92,binance_futures,ETH,1h,sideways,21045,0.3099073414112616,0.5474083205645127,0.45259167943548734,0.09481664112902538,0.645704709469096
